specialization,sub_specialization,years_of_experience,location,area,hourly_rate,success_rate,cases_handled,court_experience,languages_spoken,case_type,case_subtype,case_urgency,case_complexity,label_lawyer_id,match_score
Corporate Law,Mergers,17,Peshawar,Hayatabad,13506,64%,91,"Special Tribunals, High Court","Punjabi (Conversational), Pashto (Conversational), English (Fluent), Sindhi (Basic)",Corporate Law,Compliance,Low,Complex,143,0.88
Corporate Law,Mergers,17,Peshawar,Hayatabad,13506,64%,91,"Special Tribunals, High Court","Punjabi (Conversational), Pashto (Conversational), English (Fluent), Sindhi (Basic)",Corporate Law,Mergers,High,Complex,143,0.87
Corporate Law,Mergers,17,Peshawar,Hayatabad,13506,64%,91,"Special Tribunals, High Court","Punjabi (Conversational), Pashto (Conversational), English (Fluent), Sindhi (Basic)",Corporate Law,Compliance,Low,Simple,143,0.84
Corporate Law,Mergers,17,Peshawar,Hayatabad,13506,64%,91,"Special Tribunals, High Court","Punjabi (Conversational), Pashto (Conversational), English (Fluent), Sindhi (Basic)",Corporate Law,Contracts,Medium,Moderate,143,0.76
Corporate Law,Mergers,17,Peshawar,Hayatabad,13506,64%,91,"Special Tribunals, High Court","Punjabi (Conversational), Pashto (Conversational), English (Fluent), Sindhi (Basic)",Corporate Law,Contracts,High,Moderate,143,0.75
Corporate Law,Mergers,17,Peshawar,Hayatabad,13506,64%,91,"Special Tribunals, High Court","Punjabi (Conversational), Pashto (Conversational), English (Fluent), Sindhi (Basic)",Corporate Law,Mergers,High,Moderate,143,0.87
Corporate Law,Mergers,17,Peshawar,Hayatabad,13506,64%,91,"Special Tribunals, High Court","Punjabi (Conversational), Pashto (Conversational), English (Fluent), Sindhi (Basic)",Corporate Law,Mergers,Medium,Moderate,143,0.84
Corporate Law,Mergers,17,Peshawar,Hayatabad,13506,64%,91,"Special Tribunals, High Court","Punjabi (Conversational), Pashto (Conversational), English (Fluent), Sindhi (Basic)",Corporate Law,Contracts,Medium,Moderate,143,0.83
Corporate Law,Mergers,17,Peshawar,Hayatabad,13506,64%,91,"Special Tribunals, High Court","Punjabi (Conversational), Pashto (Conversational), English (Fluent), Sindhi (Basic)",Corporate Law,Compliance,Low,Moderate,143,0.81
Corporate Law,Mergers,17,Peshawar,Hayatabad,13506,64%,91,"Special Tribunals, High Court","Punjabi (Conversational), Pashto (Conversational), English (Fluent), Sindhi (Basic)",Corporate Law,Compliance,Medium,Moderate,143,0.75
Corporate Law,Mergers,17,Peshawar,Hayatabad,13506,64%,91,"Special Tribunals, High Court","Punjabi (Conversational), Pashto (Conversational), English (Fluent), Sindhi (Basic)",Corporate Law,Compliance,Medium,Simple,143,0.94
Corporate Law,Mergers,17,Peshawar,Hayatabad,13506,64%,91,"Special Tribunals, High Court","Punjabi (Conversational), Pashto (Conversational), English (Fluent), Sindhi (Basic)",Corporate Law,Mergers,Medium,Complex,143,0.94
Corporate Law,Mergers,17,Peshawar,Hayatabad,13506,64%,91,"Special Tribunals, High Court","Punjabi (Conversational), Pashto (Conversational), English (Fluent), Sindhi (Basic)",Corporate Law,Compliance,High,Complex,143,0.87
Immigration Law,Citizenship,15,Islamabad,F-8,13379,73%,188,District Court,"Punjabi (Conversational), Sindhi (Basic), English (Fluent)",Immigration Law,Deportation,Medium,Simple,144,0.78
Immigration Law,Citizenship,15,Islamabad,F-8,13379,73%,188,District Court,"Punjabi (Conversational), Sindhi (Basic), English (Fluent)",Immigration Law,Visas,Medium,Complex,144,0.74
Immigration Law,Citizenship,15,Islamabad,F-8,13379,73%,188,District Court,"Punjabi (Conversational), Sindhi (Basic), English (Fluent)",Immigration Law,Citizenship,High,Complex,144,0.75
Immigration Law,Citizenship,15,Islamabad,F-8,13379,73%,188,District Court,"Punjabi (Conversational), Sindhi (Basic), English (Fluent)",Immigration Law,Deportation,Low,Moderate,144,0.89
Immigration Law,Citizenship,15,Islamabad,F-8,13379,73%,188,District Court,"Punjabi (Conversational), Sindhi (Basic), English (Fluent)",Immigration Law,Deportation,Medium,Moderate,144,0.73
Immigration Law,Citizenship,15,Islamabad,F-8,13379,73%,188,District Court,"Punjabi (Conversational), Sindhi (Basic), English (Fluent)",Immigration Law,Visas,Low,Moderate,144,0.78
Corporate Law,Compliance,13,Quetta,Samungli Road,3711,83%,306,"High Court, Session Court, Special Tribunals","Sindhi (Basic), Punjabi (Conversational), Urdu (Native), English (Fluent)",Corporate Law,Contracts,High,Simple,146,0.91
Corporate Law,Compliance,13,Quetta,Samungli Road,3711,83%,306,"High Court, Session Court, Special Tribunals","Sindhi (Basic), Punjabi (Conversational), Urdu (Native), English (Fluent)",Corporate Law,Mergers,Low,Complex,146,0.81
Corporate Law,Compliance,13,Quetta,Samungli Road,3711,83%,306,"High Court, Session Court, Special Tribunals","Sindhi (Basic), Punjabi (Conversational), Urdu (Native), English (Fluent)",Corporate Law,Compliance,Low,Complex,146,0.72
Corporate Law,Compliance,13,Quetta,Samungli Road,3711,83%,306,"High Court, Session Court, Special Tribunals","Sindhi (Basic), Punjabi (Conversational), Urdu (Native), English (Fluent)",Corporate Law,Compliance,High,Complex,146,0.94
Corporate Law,Compliance,13,Quetta,Samungli Road,3711,83%,306,"High Court, Session Court, Special Tribunals","Sindhi (Basic), Punjabi (Conversational), Urdu (Native), English (Fluent)",Corporate Law,Mergers,High,Moderate,146,0.9
Corporate Law,Compliance,13,Quetta,Samungli Road,3711,83%,306,"High Court, Session Court, Special Tribunals","Sindhi (Basic), Punjabi (Conversational), Urdu (Native), English (Fluent)",Corporate Law,Compliance,High,Complex,146,0.92
Corporate Law,Compliance,13,Quetta,Samungli Road,3711,83%,306,"High Court, Session Court, Special Tribunals","Sindhi (Basic), Punjabi (Conversational), Urdu (Native), English (Fluent)",Corporate Law,Contracts,High,Moderate,146,0.91
Corporate Law,Compliance,13,Quetta,Samungli Road,3711,83%,306,"High Court, Session Court, Special Tribunals","Sindhi (Basic), Punjabi (Conversational), Urdu (Native), English (Fluent)",Corporate Law,Mergers,Medium,Moderate,146,0.85
Corporate Law,Compliance,13,Quetta,Samungli Road,3711,83%,306,"High Court, Session Court, Special Tribunals","Sindhi (Basic), Punjabi (Conversational), Urdu (Native), English (Fluent)",Corporate Law,Mergers,High,Complex,146,0.85
Corporate Law,Compliance,13,Quetta,Samungli Road,3711,83%,306,"High Court, Session Court, Special Tribunals","Sindhi (Basic), Punjabi (Conversational), Urdu (Native), English (Fluent)",Corporate Law,Contracts,High,Simple,146,0.77
Corporate Law,Compliance,13,Quetta,Samungli Road,3711,83%,306,"High Court, Session Court, Special Tribunals","Sindhi (Basic), Punjabi (Conversational), Urdu (Native), English (Fluent)",Corporate Law,Contracts,Low,Simple,146,0.75
Corporate Law,Compliance,13,Quetta,Samungli Road,3711,83%,306,"High Court, Session Court, Special Tribunals","Sindhi (Basic), Punjabi (Conversational), Urdu (Native), English (Fluent)",Corporate Law,Contracts,Low,Complex,146,0.76
Corporate Law,Compliance,13,Quetta,Samungli Road,3711,83%,306,"High Court, Session Court, Special Tribunals","Sindhi (Basic), Punjabi (Conversational), Urdu (Native), English (Fluent)",Corporate Law,Contracts,High,Moderate,146,0.86
Corporate Law,Compliance,13,Quetta,Samungli Road,3711,83%,306,"High Court, Session Court, Special Tribunals","Sindhi (Basic), Punjabi (Conversational), Urdu (Native), English (Fluent)",Corporate Law,Mergers,Medium,Complex,146,0.72
Corporate Law,Compliance,13,Quetta,Samungli Road,3711,83%,306,"High Court, Session Court, Special Tribunals","Sindhi (Basic), Punjabi (Conversational), Urdu (Native), English (Fluent)",Corporate Law,Contracts,High,Simple,146,0.88
Corporate Law,Compliance,13,Quetta,Samungli Road,3711,83%,306,"High Court, Session Court, Special Tribunals","Sindhi (Basic), Punjabi (Conversational), Urdu (Native), English (Fluent)",Corporate Law,Mergers,High,Simple,146,0.74
Corporate Law,Compliance,13,Quetta,Samungli Road,3711,83%,306,"High Court, Session Court, Special Tribunals","Sindhi (Basic), Punjabi (Conversational), Urdu (Native), English (Fluent)",Corporate Law,Contracts,Low,Moderate,146,0.95
Corporate Law,Compliance,13,Quetta,Samungli Road,3711,83%,306,"High Court, Session Court, Special Tribunals","Sindhi (Basic), Punjabi (Conversational), Urdu (Native), English (Fluent)",Corporate Law,Contracts,Medium,Moderate,146,0.89
Corporate Law,Compliance,13,Quetta,Samungli Road,3711,83%,306,"High Court, Session Court, Special Tribunals","Sindhi (Basic), Punjabi (Conversational), Urdu (Native), English (Fluent)",Corporate Law,Compliance,Low,Moderate,146,0.95
Criminal Law,White Collar Crimes,20,Quetta,Jinnah Town,15308,64%,406,High Court,"Pashto (Conversational), Punjabi (Conversational), Urdu (Native)",Criminal Law,Drug Offenses,Low,Moderate,147,0.98
Criminal Law,White Collar Crimes,20,Quetta,Jinnah Town,15308,64%,406,High Court,"Pashto (Conversational), Punjabi (Conversational), Urdu (Native)",Criminal Law,White Collar Crimes,Low,Complex,147,0.85
Criminal Law,White Collar Crimes,20,Quetta,Jinnah Town,15308,64%,406,High Court,"Pashto (Conversational), Punjabi (Conversational), Urdu (Native)",Criminal Law,White Collar Crimes,Medium,Complex,147,0.83
Criminal Law,White Collar Crimes,20,Quetta,Jinnah Town,15308,64%,406,High Court,"Pashto (Conversational), Punjabi (Conversational), Urdu (Native)",Criminal Law,Drug Offenses,Medium,Complex,147,0.92
Criminal Law,White Collar Crimes,20,Quetta,Jinnah Town,15308,64%,406,High Court,"Pashto (Conversational), Punjabi (Conversational), Urdu (Native)",Criminal Law,White Collar Crimes,High,Moderate,147,0.74
Criminal Law,White Collar Crimes,20,Quetta,Jinnah Town,15308,64%,406,High Court,"Pashto (Conversational), Punjabi (Conversational), Urdu (Native)",Criminal Law,Drug Offenses,Medium,Moderate,147,0.99
Criminal Law,White Collar Crimes,20,Quetta,Jinnah Town,15308,64%,406,High Court,"Pashto (Conversational), Punjabi (Conversational), Urdu (Native)",Criminal Law,White Collar Crimes,High,Simple,147,0.88
Criminal Law,White Collar Crimes,20,Quetta,Jinnah Town,15308,64%,406,High Court,"Pashto (Conversational), Punjabi (Conversational), Urdu (Native)",Criminal Law,Violent Crimes,High,Simple,147,0.89
Criminal Law,White Collar Crimes,20,Quetta,Jinnah Town,15308,64%,406,High Court,"Pashto (Conversational), Punjabi (Conversational), Urdu (Native)",Criminal Law,White Collar Crimes,Medium,Complex,147,0.71
Criminal Law,White Collar Crimes,20,Quetta,Jinnah Town,15308,64%,406,High Court,"Pashto (Conversational), Punjabi (Conversational), Urdu (Native)",Criminal Law,Violent Crimes,High,Simple,147,0.96
Criminal Law,White Collar Crimes,20,Quetta,Jinnah Town,15308,64%,406,High Court,"Pashto (Conversational), Punjabi (Conversational), Urdu (Native)",Criminal Law,White Collar Crimes,Medium,Complex,147,0.83
Immigration Law,Deportation,12,Karachi,Clifton,13832,64%,278,"Special Tribunals, High Court, District Court","English (Fluent), Urdu (Native)",Immigration Law,Visas,Low,Simple,150,0.77
Immigration Law,Deportation,12,Karachi,Clifton,13832,64%,278,"Special Tribunals, High Court, District Court","English (Fluent), Urdu (Native)",Immigration Law,Citizenship,Medium,Complex,150,0.92
Immigration Law,Deportation,12,Karachi,Clifton,13832,64%,278,"Special Tribunals, High Court, District Court","English (Fluent), Urdu (Native)",Immigration Law,Visas,Low,Moderate,150,0.9
Immigration Law,Deportation,12,Karachi,Clifton,13832,64%,278,"Special Tribunals, High Court, District Court","English (Fluent), Urdu (Native)",Immigration Law,Citizenship,High,Simple,150,0.8
Immigration Law,Deportation,12,Karachi,Clifton,13832,64%,278,"Special Tribunals, High Court, District Court","English (Fluent), Urdu (Native)",Immigration Law,Visas,High,Moderate,150,0.75
Immigration Law,Deportation,12,Karachi,Clifton,13832,64%,278,"Special Tribunals, High Court, District Court","English (Fluent), Urdu (Native)",Immigration Law,Deportation,Medium,Moderate,150,0.92
Immigration Law,Deportation,12,Karachi,Clifton,13832,64%,278,"Special Tribunals, High Court, District Court","English (Fluent), Urdu (Native)",Immigration Law,Deportation,Low,Simple,150,0.74
Immigration Law,Deportation,12,Karachi,Clifton,13832,64%,278,"Special Tribunals, High Court, District Court","English (Fluent), Urdu (Native)",Immigration Law,Citizenship,Medium,Complex,150,0.88
Immigration Law,Deportation,12,Karachi,Clifton,13832,64%,278,"Special Tribunals, High Court, District Court","English (Fluent), Urdu (Native)",Immigration Law,Visas,Low,Simple,150,0.95
Immigration Law,Deportation,12,Karachi,Clifton,13832,64%,278,"Special Tribunals, High Court, District Court","English (Fluent), Urdu (Native)",Immigration Law,Deportation,Medium,Moderate,150,0.84
Immigration Law,Deportation,12,Karachi,Clifton,13832,64%,278,"Special Tribunals, High Court, District Court","English (Fluent), Urdu (Native)",Immigration Law,Citizenship,Low,Moderate,150,0.97
Immigration Law,Deportation,12,Karachi,Clifton,13832,64%,278,"Special Tribunals, High Court, District Court","English (Fluent), Urdu (Native)",Immigration Law,Citizenship,Low,Complex,150,0.88
Immigration Law,Deportation,12,Karachi,Clifton,13832,64%,278,"Special Tribunals, High Court, District Court","English (Fluent), Urdu (Native)",Immigration Law,Deportation,High,Simple,150,0.77
Immigration Law,Deportation,12,Karachi,Clifton,13832,64%,278,"Special Tribunals, High Court, District Court","English (Fluent), Urdu (Native)",Immigration Law,Visas,Medium,Simple,150,0.8
Immigration Law,Deportation,12,Karachi,Clifton,13832,64%,278,"Special Tribunals, High Court, District Court","English (Fluent), Urdu (Native)",Immigration Law,Visas,High,Simple,150,0.73
Immigration Law,Deportation,12,Karachi,Clifton,13832,64%,278,"Special Tribunals, High Court, District Court","English (Fluent), Urdu (Native)",Immigration Law,Citizenship,High,Simple,150,0.85
Property Law,Land Disputes,9,Quetta,Samungli Road,2306,77%,412,"Special Tribunals, Session Court, High Court","Urdu (Native), Punjabi (Conversational)",Property Law,Land Disputes,High,Simple,151,0.72
Property Law,Land Disputes,9,Quetta,Samungli Road,2306,77%,412,"Special Tribunals, Session Court, High Court","Urdu (Native), Punjabi (Conversational)",Property Law,Rental Issues,Low,Complex,151,0.71
Property Law,Land Disputes,9,Quetta,Samungli Road,2306,77%,412,"Special Tribunals, Session Court, High Court","Urdu (Native), Punjabi (Conversational)",Property Law,Rental Issues,Low,Moderate,151,0.66
Property Law,Land Disputes,9,Quetta,Samungli Road,2306,77%,412,"Special Tribunals, Session Court, High Court","Urdu (Native), Punjabi (Conversational)",Property Law,Land Disputes,Low,Complex,151,0.65
Property Law,Land Disputes,9,Quetta,Samungli Road,2306,77%,412,"Special Tribunals, Session Court, High Court","Urdu (Native), Punjabi (Conversational)",Property Law,Land Disputes,Medium,Complex,151,0.68
Property Law,Land Disputes,9,Quetta,Samungli Road,2306,77%,412,"Special Tribunals, Session Court, High Court","Urdu (Native), Punjabi (Conversational)",Property Law,Rental Issues,High,Simple,151,0.76
Property Law,Land Disputes,9,Quetta,Samungli Road,2306,77%,412,"Special Tribunals, Session Court, High Court","Urdu (Native), Punjabi (Conversational)",Property Law,Rental Issues,High,Moderate,151,0.77
Property Law,Land Disputes,9,Quetta,Samungli Road,2306,77%,412,"Special Tribunals, Session Court, High Court","Urdu (Native), Punjabi (Conversational)",Property Law,Land Disputes,High,Complex,151,0.72
Property Law,Land Disputes,9,Quetta,Samungli Road,2306,77%,412,"Special Tribunals, Session Court, High Court","Urdu (Native), Punjabi (Conversational)",Property Law,Rental Issues,Low,Complex,151,0.65
Criminal Law,White Collar Crimes,18,Quetta,Samungli Road,7185,75%,500,"High Court, Special Tribunals","Urdu (Native), English (Fluent), Punjabi (Conversational), Sindhi (Basic)",Criminal Law,Violent Crimes,High,Moderate,152,0.75
Criminal Law,White Collar Crimes,18,Quetta,Samungli Road,7185,75%,500,"High Court, Special Tribunals","Urdu (Native), English (Fluent), Punjabi (Conversational), Sindhi (Basic)",Criminal Law,White Collar Crimes,Medium,Complex,152,0.96
Criminal Law,White Collar Crimes,18,Quetta,Samungli Road,7185,75%,500,"High Court, Special Tribunals","Urdu (Native), English (Fluent), Punjabi (Conversational), Sindhi (Basic)",Criminal Law,Drug Offenses,Medium,Simple,152,0.8
Criminal Law,White Collar Crimes,18,Quetta,Samungli Road,7185,75%,500,"High Court, Special Tribunals","Urdu (Native), English (Fluent), Punjabi (Conversational), Sindhi (Basic)",Criminal Law,Violent Crimes,Medium,Simple,152,0.89
Criminal Law,White Collar Crimes,18,Quetta,Samungli Road,7185,75%,500,"High Court, Special Tribunals","Urdu (Native), English (Fluent), Punjabi (Conversational), Sindhi (Basic)",Criminal Law,Drug Offenses,Low,Simple,152,0.77
Criminal Law,White Collar Crimes,18,Quetta,Samungli Road,7185,75%,500,"High Court, Special Tribunals","Urdu (Native), English (Fluent), Punjabi (Conversational), Sindhi (Basic)",Criminal Law,White Collar Crimes,Low,Simple,152,0.85
Criminal Law,White Collar Crimes,18,Quetta,Samungli Road,7185,75%,500,"High Court, Special Tribunals","Urdu (Native), English (Fluent), Punjabi (Conversational), Sindhi (Basic)",Criminal Law,Violent Crimes,High,Complex,152,0.91
Criminal Law,White Collar Crimes,18,Quetta,Samungli Road,7185,75%,500,"High Court, Special Tribunals","Urdu (Native), English (Fluent), Punjabi (Conversational), Sindhi (Basic)",Criminal Law,Drug Offenses,Medium,Moderate,152,0.73
Criminal Law,White Collar Crimes,18,Quetta,Samungli Road,7185,75%,500,"High Court, Special Tribunals","Urdu (Native), English (Fluent), Punjabi (Conversational), Sindhi (Basic)",Criminal Law,Violent Crimes,Low,Moderate,152,0.77
Criminal Law,White Collar Crimes,18,Quetta,Samungli Road,7185,75%,500,"High Court, Special Tribunals","Urdu (Native), English (Fluent), Punjabi (Conversational), Sindhi (Basic)",Criminal Law,Drug Offenses,Low,Moderate,152,0.99
Criminal Law,White Collar Crimes,18,Quetta,Samungli Road,7185,75%,500,"High Court, Special Tribunals","Urdu (Native), English (Fluent), Punjabi (Conversational), Sindhi (Basic)",Criminal Law,Drug Offenses,High,Simple,152,0.9
Criminal Law,White Collar Crimes,18,Quetta,Samungli Road,7185,75%,500,"High Court, Special Tribunals","Urdu (Native), English (Fluent), Punjabi (Conversational), Sindhi (Basic)",Criminal Law,Drug Offenses,High,Moderate,152,0.87
Criminal Law,White Collar Crimes,18,Quetta,Samungli Road,7185,75%,500,"High Court, Special Tribunals","Urdu (Native), English (Fluent), Punjabi (Conversational), Sindhi (Basic)",Criminal Law,Drug Offenses,Low,Simple,152,0.9
Criminal Law,Drug Offenses,15,Lahore,Model Town,17068,74%,206,Session Court,"Urdu (Native), English (Fluent)",Criminal Law,Drug Offenses,Low,Simple,153,0.79
Criminal Law,Drug Offenses,15,Lahore,Model Town,17068,74%,206,Session Court,"Urdu (Native), English (Fluent)",Criminal Law,White Collar Crimes,Low,Simple,153,0.72
Criminal Law,Drug Offenses,15,Lahore,Model Town,17068,74%,206,Session Court,"Urdu (Native), English (Fluent)",Criminal Law,White Collar Crimes,Medium,Simple,153,0.79
Criminal Law,Drug Offenses,15,Lahore,Model Town,17068,74%,206,Session Court,"Urdu (Native), English (Fluent)",Criminal Law,Violent Crimes,Low,Complex,153,0.91
Criminal Law,Drug Offenses,15,Lahore,Model Town,17068,74%,206,Session Court,"Urdu (Native), English (Fluent)",Criminal Law,White Collar Crimes,Low,Moderate,153,0.87
Criminal Law,Drug Offenses,15,Lahore,Model Town,17068,74%,206,Session Court,"Urdu (Native), English (Fluent)",Criminal Law,Drug Offenses,Low,Moderate,153,0.93
Criminal Law,Drug Offenses,15,Lahore,Model Town,17068,74%,206,Session Court,"Urdu (Native), English (Fluent)",Criminal Law,Drug Offenses,Medium,Moderate,153,0.77
Criminal Law,Drug Offenses,15,Lahore,Model Town,17068,74%,206,Session Court,"Urdu (Native), English (Fluent)",Criminal Law,Drug Offenses,Medium,Simple,153,0.71
Criminal Law,Drug Offenses,15,Lahore,Model Town,17068,74%,206,Session Court,"Urdu (Native), English (Fluent)",Criminal Law,Violent Crimes,Medium,Simple,153,0.84
Criminal Law,Drug Offenses,15,Lahore,Model Town,17068,74%,206,Session Court,"Urdu (Native), English (Fluent)",Criminal Law,Drug Offenses,High,Simple,153,0.78
Criminal Law,Drug Offenses,15,Lahore,Model Town,17068,74%,206,Session Court,"Urdu (Native), English (Fluent)",Criminal Law,Drug Offenses,High,Moderate,153,0.75
Criminal Law,Drug Offenses,15,Lahore,Model Town,17068,74%,206,Session Court,"Urdu (Native), English (Fluent)",Criminal Law,Violent Crimes,High,Simple,153,0.71
Criminal Law,Drug Offenses,15,Lahore,Model Town,17068,74%,206,Session Court,"Urdu (Native), English (Fluent)",Criminal Law,White Collar Crimes,Low,Moderate,153,0.84
Criminal Law,Drug Offenses,15,Lahore,Model Town,17068,74%,206,Session Court,"Urdu (Native), English (Fluent)",Criminal Law,White Collar Crimes,Low,Moderate,153,0.85
Criminal Law,Drug Offenses,15,Lahore,Model Town,17068,74%,206,Session Court,"Urdu (Native), English (Fluent)",Criminal Law,White Collar Crimes,High,Complex,153,0.73
Criminal Law,Drug Offenses,15,Lahore,Model Town,17068,74%,206,Session Court,"Urdu (Native), English (Fluent)",Criminal Law,White Collar Crimes,Low,Simple,153,0.82
Immigration Law,Visas,2,Quetta,Jinnah Town,18508,83%,141,Session Court,"English (Fluent), Sindhi (Basic), Urdu (Native)",Immigration Law,Visas,Low,Moderate,154,0.55
Immigration Law,Visas,2,Quetta,Jinnah Town,18508,83%,141,Session Court,"English (Fluent), Sindhi (Basic), Urdu (Native)",Immigration Law,Visas,Low,Complex,154,0.7
Immigration Law,Visas,2,Quetta,Jinnah Town,18508,83%,141,Session Court,"English (Fluent), Sindhi (Basic), Urdu (Native)",Immigration Law,Deportation,Low,Simple,154,0.61
Immigration Law,Visas,2,Quetta,Jinnah Town,18508,83%,141,Session Court,"English (Fluent), Sindhi (Basic), Urdu (Native)",Immigration Law,Citizenship,High,Moderate,154,0.62
Immigration Law,Visas,2,Quetta,Jinnah Town,18508,83%,141,Session Court,"English (Fluent), Sindhi (Basic), Urdu (Native)",Immigration Law,Visas,Medium,Simple,154,0.72
Immigration Law,Visas,2,Quetta,Jinnah Town,18508,83%,141,Session Court,"English (Fluent), Sindhi (Basic), Urdu (Native)",Immigration Law,Visas,Low,Moderate,154,0.6
Immigration Law,Visas,2,Quetta,Jinnah Town,18508,83%,141,Session Court,"English (Fluent), Sindhi (Basic), Urdu (Native)",Immigration Law,Deportation,Medium,Moderate,154,0.75
Family Law,Child Custody,1,Islamabad,G-11,18716,60%,264,"Session Court, Special Tribunals, District Court","Sindhi (Basic), Urdu (Native)",Family Law,Adoption,Low,Moderate,156,0.72
Family Law,Child Custody,1,Islamabad,G-11,18716,60%,264,"Session Court, Special Tribunals, District Court","Sindhi (Basic), Urdu (Native)",Family Law,Divorce,Low,Complex,156,0.67
Family Law,Child Custody,1,Islamabad,G-11,18716,60%,264,"Session Court, Special Tribunals, District Court","Sindhi (Basic), Urdu (Native)",Family Law,Child Custody,Low,Moderate,156,0.57
Family Law,Child Custody,1,Islamabad,G-11,18716,60%,264,"Session Court, Special Tribunals, District Court","Sindhi (Basic), Urdu (Native)",Family Law,Divorce,Medium,Simple,156,0.57
Family Law,Child Custody,1,Islamabad,G-11,18716,60%,264,"Session Court, Special Tribunals, District Court","Sindhi (Basic), Urdu (Native)",Family Law,Adoption,Low,Complex,156,0.52
Family Law,Child Custody,1,Islamabad,G-11,18716,60%,264,"Session Court, Special Tribunals, District Court","Sindhi (Basic), Urdu (Native)",Family Law,Divorce,Medium,Complex,156,0.69
Family Law,Child Custody,1,Islamabad,G-11,18716,60%,264,"Session Court, Special Tribunals, District Court","Sindhi (Basic), Urdu (Native)",Family Law,Divorce,Medium,Moderate,156,0.65
Corporate Law,Compliance,12,Islamabad,Blue Area,3325,72%,212,"Session Court, District Court, High Court","Punjabi (Conversational), Sindhi (Basic)",Corporate Law,Compliance,Low,Simple,157,0.76
Corporate Law,Compliance,12,Islamabad,Blue Area,3325,72%,212,"Session Court, District Court, High Court","Punjabi (Conversational), Sindhi (Basic)",Corporate Law,Mergers,High,Complex,157,0.73
Corporate Law,Compliance,12,Islamabad,Blue Area,3325,72%,212,"Session Court, District Court, High Court","Punjabi (Conversational), Sindhi (Basic)",Corporate Law,Compliance,High,Complex,157,0.95
Corporate Law,Compliance,12,Islamabad,Blue Area,3325,72%,212,"Session Court, District Court, High Court","Punjabi (Conversational), Sindhi (Basic)",Corporate Law,Mergers,Low,Complex,157,0.82
Corporate Law,Compliance,12,Islamabad,Blue Area,3325,72%,212,"Session Court, District Court, High Court","Punjabi (Conversational), Sindhi (Basic)",Corporate Law,Compliance,Low,Simple,157,0.93
Immigration Law,Visas,20,Karachi,Saddar,18670,81%,240,District Court,"English (Fluent), Urdu (Native)",Immigration Law,Visas,Medium,Complex,158,0.86
Immigration Law,Visas,20,Karachi,Saddar,18670,81%,240,District Court,"English (Fluent), Urdu (Native)",Immigration Law,Visas,High,Complex,158,0.87
Immigration Law,Visas,20,Karachi,Saddar,18670,81%,240,District Court,"English (Fluent), Urdu (Native)",Immigration Law,Citizenship,High,Complex,158,0.74
Immigration Law,Visas,20,Karachi,Saddar,18670,81%,240,District Court,"English (Fluent), Urdu (Native)",Immigration Law,Deportation,Low,Simple,158,0.77
Immigration Law,Visas,20,Karachi,Saddar,18670,81%,240,District Court,"English (Fluent), Urdu (Native)",Immigration Law,Citizenship,Low,Simple,158,0.86
Immigration Law,Visas,20,Karachi,Saddar,18670,81%,240,District Court,"English (Fluent), Urdu (Native)",Immigration Law,Citizenship,Low,Simple,158,0.95
Immigration Law,Visas,20,Karachi,Saddar,18670,81%,240,District Court,"English (Fluent), Urdu (Native)",Immigration Law,Deportation,Medium,Moderate,158,0.92
Immigration Law,Citizenship,25,Lahore,DHA,9955,76%,144,"Special Tribunals, District Court","English (Fluent), Punjabi (Conversational), Sindhi (Basic), Urdu (Native)",Immigration Law,Deportation,Medium,Simple,160,0.89
Immigration Law,Citizenship,25,Lahore,DHA,9955,76%,144,"Special Tribunals, District Court","English (Fluent), Punjabi (Conversational), Sindhi (Basic), Urdu (Native)",Immigration Law,Citizenship,Low,Moderate,160,0.94
Immigration Law,Citizenship,25,Lahore,DHA,9955,76%,144,"Special Tribunals, District Court","English (Fluent), Punjabi (Conversational), Sindhi (Basic), Urdu (Native)",Immigration Law,Visas,Low,Simple,160,0.94
Immigration Law,Citizenship,25,Lahore,DHA,9955,76%,144,"Special Tribunals, District Court","English (Fluent), Punjabi (Conversational), Sindhi (Basic), Urdu (Native)",Immigration Law,Deportation,Medium,Moderate,160,0.83
Immigration Law,Citizenship,25,Lahore,DHA,9955,76%,144,"Special Tribunals, District Court","English (Fluent), Punjabi (Conversational), Sindhi (Basic), Urdu (Native)",Immigration Law,Citizenship,Low,Complex,160,0.71
Immigration Law,Citizenship,25,Lahore,DHA,9955,76%,144,"Special Tribunals, District Court","English (Fluent), Punjabi (Conversational), Sindhi (Basic), Urdu (Native)",Immigration Law,Citizenship,Medium,Simple,160,0.77
Immigration Law,Citizenship,25,Lahore,DHA,9955,76%,144,"Special Tribunals, District Court","English (Fluent), Punjabi (Conversational), Sindhi (Basic), Urdu (Native)",Immigration Law,Citizenship,Low,Complex,160,0.94
Immigration Law,Citizenship,25,Lahore,DHA,9955,76%,144,"Special Tribunals, District Court","English (Fluent), Punjabi (Conversational), Sindhi (Basic), Urdu (Native)",Immigration Law,Visas,Medium,Moderate,160,0.91
Immigration Law,Deportation,1,Islamabad,F-8,3373,85%,222,"District Court, Session Court, Special Tribunals","Urdu (Native), English (Fluent), Pashto (Conversational)",Immigration Law,Citizenship,Low,Complex,161,0.63
Immigration Law,Deportation,1,Islamabad,F-8,3373,85%,222,"District Court, Session Court, Special Tribunals","Urdu (Native), English (Fluent), Pashto (Conversational)",Immigration Law,Citizenship,Low,Complex,161,0.58
